date,open,high,low,close,adj close,volume
"Jan 22, 2024","2,021.30","2,030.30","2,019.80","2,023.70","2,023.70",27
"Jan 15, 2024","2,051.70","2,054.80","2,002.60","2,026.50","2,026.50","2,724"
"Jan 08, 2024","2,019.10","2,057.00","2,014.30","2,046.70","2,046.70","1,062"
"Jan 01, 2024","2,063.50","2,073.70","2,034.20","2,042.40","2,042.40",215
"Dec 25, 2023","2,060.00","2,087.30","2,054.20","2,062.40","2,062.40","1,035"
"Dec 18, 2023","2,024.30","2,068.70","2,024.00","2,057.10","2,057.10","1,286"
"Dec 11, 2023","2,004.10","2,043.40","1,975.00","2,021.10","2,021.10","3,495"
"Dec 04, 2023","2,075.30","2,130.20","1,995.00","1,998.30","1,998.30","2,293"
"Nov 27, 2023","2,011.70","2,073.20","2,011.70","2,071.00","2,071.00","1,93,303"
"Nov 20, 2023","1,978.70","2,005.50","1,969.70","2,002.20","2,002.20","12,411"
"Nov 13, 2023","1,939.90","1,984.00","1,934.00","1,981.60","1,981.60",270
"Nov 06, 2023","1,981.60","1,981.60","1,932.60","1,932.60","1,932.60",578
"Oct 29, 2023","2,004.10","2,004.10","1,977.80","1,991.50","1,991.50",333
"Oct 22, 2023","1,976.20","1,988.60","1,970.30","1,988.60","1,988.60","1,127"
"Oct 15, 2023","1,910.40","1,988.60","1,910.30","1,982.50","1,982.50","2,725"
"Oct 08, 2023","1,842.50","1,930.10","1,842.50","1,927.40","1,927.40",622
"Oct 01, 2023","1,844.10","1,845.90","1,809.40","1,830.20","1,830.20","3,759"
"Sep 24, 2023","1,916.60","1,916.60","1,846.00","1,848.10","1,848.10","18,785"
"Sep 17, 2023","1,928.20","1,945.60","1,919.20","1,925.40","1,925.40",154
"Sep 10, 2023","1,923.00","1,928.30","1,903.00","1,923.70","1,923.70",607
"Sep 03, 2023","1,934.40","1,934.40","1,916.30","1,918.40","1,918.40",283
"Aug 27, 2023","1,915.50","1,950.00","1,915.50","1,939.80","1,939.80","2,827"
"Aug 20, 2023","1,893.60","1,920.80","1,892.80","1,911.10","1,911.10","2,001"
"Aug 13, 2023","1,909.30","1,912.60","1,884.00","1,886.10","1,886.10",405
"Aug 06, 2023","1,941.00","1,941.00","1,911.40","1,912.90","1,912.90","1,617"
"Jul 30, 2023","1,959.20","1,971.60","1,920.00","1,939.60","1,939.60","3,428"
"Jul 23, 2023","1,965.30","1,972.00","1,944.20","1,960.40","1,960.40","2,17,480"
"Jul 16, 2023","1,954.00","1,978.40","1,946.60","1,964.30","1,964.30",835
"Jul 09, 2023","1,923.60","1,961.10","1,912.30","1,960.10","1,960.10",758
"Jul 02, 2023","1,917.90","1,934.10","1,903.20","1,926.20","1,926.20",376
"Jun 25, 2023","1,922.90","1,929.40","1,892.50","1,921.10","1,921.10","1,482"
"Jun 18, 2023","1,958.60","1,958.60","1,912.10","1,919.10","1,919.10","1,092"
"Jun 11, 2023","1,959.70","1,967.50","1,926.00","1,958.40","1,958.40","1,205"
"Jun 04, 2023","1,947.50","1,969.80","1,937.80","1,962.20","1,962.20","1,498"
"May 28, 2023","1,942.70","1,983.00","1,931.00","1,952.40","1,952.40","44,903"
"May 21, 2023","1,980.50","1,980.50","1,943.10","1,944.10","1,944.10","1,66,235"
"May 14, 2023","2,013.80","2,018.00","1,956.50","1,978.70","1,978.70",194
"May 07, 2023","2,022.50","2,044.30","2,014.00","2,014.50","2,014.50",697
"Apr 30, 2023","1,980.10","2,072.00","1,976.90","2,017.40","2,017.40","4,444"
"Apr 23, 2023","1,981.30","2,002.30","1,977.40","1,990.10","1,990.10","1,573"
"Apr 16, 2023","2,002.70","2,007.60","1,969.80","1,979.50","1,979.50",983
"Apr 09, 2023","2,000.00","2,048.60","1,984.00","2,002.20","2,002.20","2,653"
"Apr 02, 2023","1,968.10","2,033.80","1,950.00","2,011.90","2,011.90","2,073"
"Mar 26, 2023","1,957.20","1,986.80","1,952.40","1,969.00","1,969.00","1,00,537"
"Mar 19, 2023","1,988.30","2,003.90","1,938.00","1,982.10","1,982.10",538
"Mar 12, 2023","1,890.80","1,985.10","1,875.10","1,969.80","1,969.80","1,650"
"Mar 06, 2023","1,853.30","1,868.50","1,811.50","1,862.00","1,862.00","1,110"
"Feb 27, 2023","1,811.60","1,855.40","1,808.10","1,847.70","1,847.70","1,873"
"Feb 20, 2023","1,842.60","1,843.00","1,808.80","1,808.80","1,808.80","1,870"
"Feb 13, 2023","1,859.00","1,862.00","1,818.40","1,840.40","1,840.40","1,850"
"Feb 06, 2023","1,865.60","1,884.60","1,852.40","1,862.80","1,862.80","1,201"
"Jan 30, 2023","1,928.30","1,959.10","1,861.50","1,862.90","1,862.90","33,160"
"Jan 23, 2023","1,926.50","1,941.20","1,915.00","1,928.60","1,928.60","1,51,459"
"Jan 16, 2023","1,920.10","1,931.80","1,903.10","1,926.40","1,926.40","3,962"
"Jan 09, 2023","1,867.00","1,920.90","1,867.00","1,918.40","1,918.40","1,970"
"Jan 02, 2023","1,836.20","1,868.20","1,834.80","1,864.20","1,864.20",104
"Dec 26, 2022","1,803.40","1,826.30","1,803.10","1,819.70","1,819.70",875
"Dec 19, 2022","1,791.60","1,821.40","1,785.00","1,795.90","1,795.90",625
"Dec 12, 2022","1,787.30","1,819.80","1,774.80","1,790.00","1,790.00","1,991"
"Dec 05, 2022","1,795.70","1,808.00","1,764.30","1,798.10","1,798.10","3,078"
"Nov 28, 2022","1,741.30","1,803.70","1,737.90","1,795.90","1,795.90","1,58,300"
"Nov 21, 2022","1,739.00","1,757.90","1,736.10","1,753.30","1,753.30",814
"Nov 14, 2022","1,762.00","1,778.90","1,747.60","1,751.90","1,751.90","1,150"
"Nov 07, 2022","1,676.90","1,766.00","1,672.90","1,766.00","1,766.00","1,144"
"Oct 30, 2022","1,641.80","1,674.50","1,615.10","1,672.50","1,672.50","3,705"
"Oct 23, 2022","1,662.70","1,667.00","1,637.30","1,639.60","1,639.60","3,922"
"Oct 16, 2022","1,650.20","1,657.00","1,622.80","1,651.00","1,651.00","1,620"
"Oct 09, 2022","1,693.40","1,693.40","1,640.00","1,641.70","1,641.70","1,322"
"Oct 02, 2022","1,667.20","1,728.00","1,661.90","1,700.50","1,700.50","1,431"
"Sep 25, 2022","1,623.30","1,672.70","1,620.40","1,662.40","1,662.40","26,980"
"Sep 18, 2022","1,661.80","1,680.10","1,645.30","1,645.30","1,645.30","7,944"
"Sep 11, 2022","1,727.40","1,728.10","1,651.70","1,671.70","1,671.70","2,621"
"Sep 04, 2022","1,709.70","1,720.00","1,694.70","1,716.20","1,716.20","3,176"
"Aug 28, 2022","1,732.40","1,741.20","1,693.90","1,709.80","1,709.80","4,333"
"Aug 21, 2022","1,740.50","1,761.80","1,726.50","1,736.10","1,736.10","1,417"
"Aug 14, 2022","1,799.00","1,799.00","1,747.50","1,747.60","1,747.60",765
"Aug 07, 2022","1,771.80","1,804.90","1,771.80","1,798.60","1,798.60","2,399"
"Jul 31, 2022","1,763.90","1,792.10","1,753.00","1,772.90","1,772.90","3,112"
"Jul 24, 2022","1,727.00","1,765.70","1,717.70","1,762.90","1,762.90","1,85,654"
"Jul 17, 2022","1,712.20","1,735.00","1,679.80","1,727.10","1,727.10","2,322"
"Jul 10, 2022","1,732.50","1,736.70","1,701.10","1,702.40","1,702.40","2,904"
"Jul 03, 2022","1,805.40","1,805.40","1,732.10","1,740.60","1,740.60","4,032"
"Jun 26, 2022","1,830.50","1,830.70","1,791.60","1,798.90","1,798.90","1,046"
"Jun 19, 2022","1,835.30","1,842.70","1,815.80","1,826.50","1,826.50",401
"Jun 12, 2022","1,873.80","1,873.80","1,805.30","1,835.60","1,835.60","1,077"
"Jun 05, 2022","1,849.00","1,875.60","1,823.90","1,871.50","1,871.50","3,177"
"May 29, 2022","1,850.30","1,871.80","1,825.30","1,845.40","1,845.40","6,300"
"May 22, 2022","1,846.30","1,867.00","1,840.40","1,851.30","1,851.30","1,53,695"
"May 15, 2022","1,790.50","1,841.80","1,787.00","1,841.80","1,841.80",714
"May 08, 2022","1,866.60","1,867.50","1,807.40","1,807.40","1,807.40","3,224"
"May 01, 2022","1,896.70","1,904.30","1,853.00","1,881.20","1,881.20","1,146"
"Apr 24, 2022","1,925.00","1,925.00","1,872.90","1,909.30","1,909.30","3,481"
"Apr 17, 2022","1,973.40","1,997.10","1,930.20","1,931.00","1,931.00","1,129"
"Apr 10, 2022","1,946.60","1,981.00","1,941.80","1,970.90","1,970.90",714
"Apr 03, 2022","1,921.20","1,947.70","1,915.60","1,941.60","1,941.60","1,385"
"Mar 27, 2022","1,932.60","1,949.90","1,893.50","1,919.10","1,919.10","1,50,456"
"Mar 20, 2022","1,925.40","1,964.00","1,920.70","1,953.80","1,953.80",326
"Mar 13, 2022","1,976.50","1,977.70","1,907.20","1,928.20","1,928.20",387
"Mar 07, 2022","1,989.00","2,072.00","1,959.90","1,982.70","1,982.70","6,886"
"Feb 28, 2022","1,928.30","1,970.90","1,894.20","1,965.10","1,965.10","1,215"
"Feb 21, 2022","1,908.10","1,972.50","1,883.60","1,886.50","1,886.50","3,589"
"Feb 14, 2022","1,861.80","1,900.70","1,847.40","1,898.60","1,898.60",643
"Feb 07, 2022","1,812.20","1,864.80","1,809.10","1,840.80","1,840.80","1,938"
"Jan 31, 2022","1,788.50","1,813.70","1,785.10","1,806.60","1,806.60","4,685"
"Jan 24, 2022","1,837.90","1,852.70","1,778.80","1,784.90","1,784.90","2,24,631"
"Jan 17, 2022","1,816.80","1,843.10","1,812.30","1,831.80","1,831.80","1,759"
"Jan 10, 2022","1,794.90","1,827.20","1,790.40","1,816.50","1,816.50","3,680"
"Jan 03, 2022","1,830.10","1,830.10","1,784.40","1,797.00","1,797.00",209
"Dec 27, 2021","1,810.00","1,827.80","1,791.40","1,827.50","1,827.50","1,305"
"Dec 20, 2021","1,796.80","1,811.20","1,785.50","1,811.20","1,811.20","1,561"
"Dec 13, 2021","1,784.40","1,812.90","1,753.90","1,803.80","1,803.80","1,486"
"Dec 06, 2021","1,780.20","1,789.90","1,769.10","1,782.90","1,782.90","3,072"
"Nov 29, 2021","1,791.70","1,808.10","1,760.60","1,782.00","1,782.00","35,208"
"Nov 22, 2021","1,841.60","1,841.60","1,781.40","1,785.30","1,785.30","1,87,454"
"Nov 15, 2021","1,864.50","1,869.70","1,851.20","1,851.20","1,851.20",120
"Nov 08, 2021","1,817.00","1,867.90","1,816.90","1,867.90","1,867.90","1,728"
"Oct 31, 2021","1,787.50","1,817.10","1,761.80","1,816.40","1,816.40",805
"Oct 24, 2021","1,794.30","1,809.00","1,774.60","1,783.00","1,783.00","2,077"
"Oct 17, 2021","1,761.60","1,806.90","1,759.50","1,795.50","1,795.50","1,122"
"Oct 10, 2021","1,756.60","1,799.90","1,749.80","1,767.20","1,767.20","1,628"
"Oct 03, 2021","1,764.50","1,780.00","1,744.70","1,756.30","1,756.30","1,161"
"Sep 26, 2021","1,751.70","1,762.60","1,721.40","1,757.00","1,757.00","26,407"
"Sep 19, 2021","1,751.80","1,784.30","1,738.20","1,749.70","1,749.70",415
"Sep 12, 2021","1,789.80","1,806.20","1,743.90","1,749.40","1,749.40","3,582"
"Sep 05, 2021","1,825.70","1,825.70","1,781.70","1,789.60","1,789.60",166
"Aug 29, 2021","1,818.20","1,833.90","1,801.10","1,830.90","1,830.90",959
"Aug 22, 2021","1,776.80","1,816.60","1,776.80","1,816.60","1,816.60","2,146"
"Aug 15, 2021","1,776.90","1,794.20","1,771.90","1,781.00","1,781.00","1,162"
"Aug 08, 2021","1,753.50","1,777.30","1,692.60","1,775.20","1,775.20","4,701"
"Aug 01, 2021","1,812.40","1,831.30","1,758.40","1,760.00","1,760.00","8,982"
"Jul 25, 2021","1,802.50","1,832.60","1,797.20","1,812.60","1,812.60","2,43,397"
"Jul 18, 2021","1,803.30","1,824.00","1,793.60","1,801.40","1,801.40",299
"Jul 11, 2021","1,802.60","1,833.00","1,799.50","1,814.50","1,814.50","1,109"
"Jul 04, 2021","1,786.70","1,818.50","1,786.70","1,810.00","1,810.00",942
"Jun 27, 2021","1,779.60","1,787.90","1,752.10","1,782.60","1,782.60","1,425"
"Jun 20, 2021","1,768.80","1,793.20","1,766.80","1,776.60","1,776.60",388
"Jun 13, 2021","1,866.20","1,867.20","1,767.90","1,767.90","1,767.90","1,725"
"Jun 06, 2021","1,890.50","1,902.90","1,871.50","1,877.40","1,877.40","1,700"
"May 30, 2021","1,905.10","1,916.20","1,854.00","1,889.80","1,889.80","3,295"
"May 23, 2021","1,882.10","1,905.40","1,881.90","1,902.50","1,902.50","2,08,830"
"May 16, 2021","1,849.90","1,885.00","1,847.20","1,876.70","1,876.70",454
"May 09, 2021","1,835.60","1,845.60","1,814.10","1,837.90","1,837.90",577
"May 02, 2021","1,788.50","1,842.90","1,774.80","1,831.10","1,831.10",272
"Apr 25, 2021","1,778.00","1,789.00","1,758.60","1,767.30","1,767.30","1,636"
"Apr 18, 2021","1,782.10","1,794.50","1,765.50","1,777.00","1,777.00","2,349"
"Apr 11, 2021","1,740.80","1,779.50","1,722.10","1,779.00","1,779.00","2,437"
"Apr 04, 2021","1,727.90","1,758.00","1,721.90","1,743.30","1,743.30","3,504"
"Mar 28, 2021","1,712.10","1,728.80","1,676.50","1,726.50","1,726.50","1,62,975"
"Mar 21, 2021","1,737.80","1,737.80","1,721.30","1,732.20","1,732.20",131
"Mar 14, 2021","1,729.50","1,750.30","1,721.80","1,741.40","1,741.40","1,515"
"Mar 08, 2021","1,704.70","1,737.50","1,673.70","1,719.50","1,719.50","2,135"
"Mar 01, 2021","1,737.10","1,747.00","1,685.00","1,698.00","1,698.00","2,598"
"Feb 22, 2021","1,784.00","1,811.30","1,718.80","1,728.10","1,728.10","4,876"
"Feb 15, 2021","1,820.90","1,823.40","1,764.30","1,775.80","1,775.80","2,460"
"Feb 08, 2021","1,816.30","1,851.10","1,809.00","1,821.60","1,821.60","1,842"
"Feb 01, 2021","1,866.60","1,871.90","1,782.80","1,810.90","1,810.90","7,635"
"Jan 25, 2021","1,864.70","1,876.00","1,831.50","1,847.30","1,847.30","2,24,542"
